- advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | reliability=HIGH | cat=ch-eu,gov,active-breaking,vulns | fetch=rss | notes: Dutch NCSC machine-readable advisory feed (added 2026-05-08). Returns CSAF/CVRF-style Cisco/Ivanti/Apache/MOVEit/PAN-OS advisories with publication and last-upd
- ncsc-ch-security-hub | NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch | https://security-hub.ncsc.admin.ch/#/dashboard | reliability=HIGH | cat=ch-eu,active-breaking,gov,vulns | fetch=api | notes: GovCERT.ch was MERGED INTO NCSC.ch in 2023; CSH replaces the legacy govcert.ch blog (frozen since 2023-09). The /govcert path on ncsc.admin.ch is a navigation p
- ncsc-uk | NCSC UK | https://www.ncsc.gov.uk/section/keep-up-to-date/reports-advisories | reliability=HIGH | cat=gov,active-breaking | fetch=webfetch | notes: UK National Cyber Security Centre. /section/keep-up-to-date/threat-reports is a landing page with no actual reports listed. Substantive content lives at /sectio
- oracle-cpu | Oracle Critical Patch Updates | https://www.oracle.com/security-alerts/ | reliability=HIGH | cat=vulns,vendor-psirt | fetch=webfetch | notes: Oracle quarterly Critical Patch Updates and individual Security Alerts (added 2026-05-08). Quarterly cadence (Jan / Apr / Jul / Oct); also publishes off-cycle S
- projectzero | Google Project Zero | https://projectzero.google/ | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Google's elite vulnerability research team. URL UPDATED 2026-05-08: legacy googleprojectzero.blogspot.com 301-redirects to projectzero.google. The Atom feed at 
- rapid7-research | Rapid7 Research | https://www.rapid7.com/blog/ | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Rapid7 vuln and incident research; Metasploit project; weekly Metasploit Wrap-Up. RSS at https://www.rapid7.com/rss.xml.
- shadowserver | Shadowserver Foundation — News & Insights | https://www.shadowserver.org/news-insights/ | reliability=HIGH | cat=research,active-breaking | fetch=webfetch | notes: Non-profit; exposure scanning telemetry and incident observations. Cadence is sparse — flag 'no items' rather than fetch failure when window is empty.
- tenable-research | Tenable Research | https://www.tenable.com/blog | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Tenable vuln research; Patch Tuesday analysis. RSS at https://www.tenable.com/blog/feed.
- trustwave-spiderlabs | LevelBlue (formerly Trustwave) SpiderLabs | https://www.levelblue.com/blogs/spiderlabs-blog | reliability=HIGH | cat=research,vulns | fetch=webfetch | notes: Trustwave SpiderLabs was rebranded to LevelBlue in 2025. URL CORRECTED 2026-05-08: legacy https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog 301-re
- vulncheck | VulnCheck | https://www.vulncheck.com/blog | reliability=HIGH | cat=vulns | fetch=webfetch | notes: Exploitation evidence and KEV-adjacent intelligence. URL UPDATED 2026-05-08: vulncheck.com 301-redirects to www.vulncheck.com — using the canonical avoids the r
- watchtowr | watchTowr Labs | https://labs.watchtowr.com/ | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Edge-device exploit research, often ahead of vendor disclosures. RSS at https://labs.watchtowr.com/rss/.
- wiz-blog | Wiz Research Blog | https://www.wiz.io/blog | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Cloud security research; strong on cloud-native CVEs, container escapes, and misconfiguration. Promoted from candidate → active 2026-05-08 after 2026-05-08 audi
- zdi | Zero Day Initiative | https://www.zerodayinitiative.com/blog/ | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Trend Micro ZDI vulnerability disclosure programme.
