2026-09-05T04:14:36Z	https://www.inside-it.ch/rss.xml	attempt
https://uicc.org	200	2026-09-05T04:20:48Z
https://therecord.media/thomson-reuters-cyberattack-data	200	2026-09-05T04:20:48Z
https://www.techtimes.com/articles/326594/20260904/sealed-court-records-breached-when-thomson-reuters-lost-control-its-cloud.htm	200	2026-09-05T04:20:48Z
https://thehackernews.com/2026/09/thomson-reuters-court-software-breach.html	200	2026-09-05T04:20:48Z
https://www.ctracknotification.com/	200	2026-09-05T04:20:48Z
https://www.supremecourt.ohio.gov/DataInformation	200	2026-09-05T04:20:48Z
https://www.ontariocourts.ca/en/public-statement-cybersecurity.htm	200	2026-09-05T04:20:48Z
https://advisories.ncsc.nl/rss/advisories	200	2026-09-05T04:21:01Z
https://wid.cert-bund.de/content/public/securityAdvisory/rss	200	2026-09-05T04:21:01Z
https://www.cisa.gov/known-exploited-vulnerabilities-catalog	200	2026-09-05T04:21:01Z
https://euvd.enisa.europa.eu/	200	2026-09-05T04:21:01Z
https://thehackernews.com/2026/09/geonetwork-fixes-unauthenticated-rce.html	200	2026-09-05T04:21:01Z
https://github.com/geonetwork/core-geonetwork/security/advisories/GHSA-mh22-prqr-vf42	200	2026-09-05T04:21:01Z
https://github.com/geonetwork/core-geonetwork/security/advisories/GHSA-x898-729x-cc3r	200	2026-09-05T04:21:01Z
https://ethiack.com/info-hub/research/geonetwork-preauth-RCE	200	2026-09-05T04:21:01Z
https://cert.europa.eu/publications/security-advisories-rss	200	2026-09-05T04:21:01Z
https://security-hub.ncsc.admin.ch/#/dashboard	200	2026-09-05T04:21:01Z
https://www.cert.ssi.gouv.fr/avis/feed/	200	2026-09-05T04:21:01Z
https://www.ncsc.gov.uk/api/1/services/v1/all-rss-feed.xml	200	2026-09-05T04:21:01Z
https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/38288	200	2026-09-05T04:21:01Z
https://www.securityweek.com/vmware-workstation-and-fusion-updates-patch-critical-vulnerability/	200	2026-09-05T04:21:01Z
https://www.cisa.gov/news-events/cybersecurity-advisories	200	2026-09-05T04:21:01Z
https://www.cisa.gov/news-events/directives	200	2026-09-05T04:21:01Z
https://www.ic3.gov/PSA	200	2026-09-05T04:21:01Z
https://www.ic3.gov/PSA/rss	200	2026-09-05T04:21:01Z
https://www.microsoft.com/en-us/msrc/blog	200	2026-09-05T04:21:01Z
https://www.zerodayinitiative.com/blog/	200	2026-09-05T04:21:01Z
https://www.vulncheck.com/blog	200	2026-09-05T04:21:01Z
https://censys.com/resources/blog/	200	2026-09-05T04:21:01Z
https://www.aikido.dev/blog	200	2026-09-05T04:21:01Z
https://depthfirst.com	200	2026-09-05T04:21:01Z
https://www.aikido.dev/blog/meccha-chameleon-rce	200	2026-09-05T04:21:01Z
https://www.aikido.dev/blog/dirty-frag	200	2026-09-05T04:21:01Z
https://onapsis.com/blog	200	2026-09-05T04:21:01Z
https://www.morphisec.com/blog/	200	2026-09-05T04:21:01Z
https://blog.exodusintel.com/feed/	200	2026-09-05T04:21:01Z
https://feeds.feedburner.com/tenable/qaXL	200	2026-09-05T04:21:01Z
https://www.morphisec.com/blog/signed-sealed-compromised-why-trusted-packages-are-now-a-ransomware-delivery-vector/	200	2026-09-05T04:21:01Z
https://support.apple.com/en-us/100100	200	2026-09-05T04:21:01Z
https://cveawg.mitre.org/api/cve/CVE-2026-43284	200	2026-09-05T04:21:01Z
https://cveawg.mitre.org/api/cve/CVE-2026-43500	200	2026-09-05T04:21:01Z
https://cveawg.mitre.org/api/cve/CVE-2026-46300	200	2026-09-05T04:21:01Z
https://cveawg.mitre.org/api/cve/CVE-2026-58400	200	2026-09-05T04:21:01Z
https://www.eid.admin.ch/en/20260903-beirat-digitale-schweiz-sicherheit-und-ver-trauen-stehen-an-oberster-stelle-e	200	2026-09-05T04:15:00Z
https://www.inside-it.ch/treffen-digitale-schweiz-im-zeichen-der-e-id-20260904	200	2026-09-05T04:16:00Z
https://www.digitale-gesellschaft.ch/2026/09/04/jetzt-e-id-sicher-einfuehren-statt-weiter-warten-beiratstreffen-digitale-schweiz/	200	2026-09-05T04:17:00Z
https://www.heise.de/news/Berliner-Senat-zahlt-nicht-sensible-Daten-jetzt-im-Darknet-11442286.html	200	2026-09-05T04:18:00Z
https://www.inside-it.ch/rss.xml	200	2026-09-05T04:13:00Z
https://security-hub.ncsc.admin.ch/#/posts/12904	200	2026-09-05T04:14:00Z
https://www.enisa.europa.eu/topics/product-security/single-reporting-platform-srp/frequently-asked-questions	200	2026-09-05T04:19:00Z
